fips,r,pop,x,y,xInitial,yInitial,dem,rep,index,vy,vx
01001,1.158198690406461,55416,352.7337300681555,240.56752562183348,401.3293553616197,271.2549858871004,23.9,73.4,0,-0.001389497274780446,-0.01130994147695264
01003,1.5962880316660357,208563,344.9411755525514,259.41024017396853,392.0928579397678,295.2398753663672,19.5,77.3,1,-0.008204156727927918,-0.010625470355242883
01005,1.0739517303652213,25965,361.8536845592771,247.15093397072133,414.85890525164547,278.049823826892,46.6,52.2,2,-0.005211375590743777,-0.020065502401496984
01007,1.064448881522839,22643,346.798085998894,234.82935429347089,395.85933769547023,265.8604780707356,21.4,76.9,3,0.001930114106028066,-0.012827282883984534
01009,1.1647436988806843,57704,348.291940023651,225.10871267447848,400.360571367867,253.54125711574193,8.46,89.8,4,0.0010355658262234946,-0.018836062139928333
01011,1.029318090844544,10362,361.3945197074836,243.8957167199335,411.3516941537167,275.5825750563497,75,24.2,5,-0.0063507274192675794,-0.010178449637025648
01013,1.0568826457648315,19998,353.37980955508306,247.17104426770263,401.89048862309903,280.8817790097148,42.7,56.3,6,-0.007975954119230539,-0.012460371200733482
01015,1.327530760612606,114611,354.3698908779647,228.40261186462646,408.0800042148012,255.28784103202673,27.8,69.2,7,-0.008059908230283856,-0.014757720063981863
01017,1.0964873845435135,33843,359.8257544276679,237.0928980618951,413.5660914267398,265.2499170115367,41.8,56.6,8,-0.005115576217094718,-0.01842472462432536
01019,1.0732651910147781,25725,355.2250687470474,224.5010009697866,409.36842224466403,251.46109329044685,14.5,83.8,9,-0.0005098977519370484,-0.01841811742784477
01021,1.1253735277134038,43941,351.4494003902754,237.55391767325744,400.11183247245106,267.451856960666,15.9,82.5,10,-0.0018523342819668845,-0.010633598977434624
01023,1.0368442784737757,12993,339.2501471150864,245.87972078106995,385.5095704714591,279.407352810363,42.7,56.4,11,-0.007644089141739362,-0.010546857453953827
01025,1.0694520370391924,24392,343.42470564215927,248.8399243244339,390.2533628570053,282.77120336787914,44.1,54.9,12,-0.007736118121157778,-0.010676639191979984
01027,1.0382717082065718,13492,356.8153323140937,233.91076287318438,408.34366066292927,261.494469567873,18.7,79.5,13,-0.00580428561222771,-0.0173366179400246
01029,1.042368059664215,14924,356.6637101647314,230.84370658869486,411.28605824030365,256.17246555684886,10.4,87.8,14,-0.006046304365857271,-0.016483078869312197
01031,1.1462128575799764,51226,358.1644273386219,250.4318180425575,409.46970201854293,284.41792432981754,20.4,77.1,15,-0.0033897411542550674,-0.014465485071552122
01033,1.1547659936542458,54216,338.5027307940445,218.58060709224262,387.23359582073937,245.78800291972874,29.6,67.8,16,0.0004400952583904766,-0.013086257873910635
01035,1.0351336512589218,12395,351.1866981217581,250.9242432357162,399.0737640042376,285.1397355411054,46.9,52.1,17,-0.007800916956568209,-0.010917949708532888
01037,1.0299445580018234,10581,354.05086020318646,235.23411012849095,404.9181669290772,266.0130222099666,34,64.6,18,-0.006671820238518538,-0.017849714579210977
01039,1.1068283835095616,37458,355.9155318806173,252.77729285958958,404.9158919747866,286.8383291014269,15,83.5,19,-0.0037733757838155626,-0.014979848755400347
01041,1.039476012650474,13913,356.4153341488702,247.77675546376148,405.64726926214246,280.73739635224297,26.5,72.1,20,-0.004421485010583086,-0.013134550137271024
01043,1.2355916992657778,82471,345.69792006355306,222.91126548686702,397.15567685965283,251.94447122604896,10,87.8,21,0.0021144657397799364,-0.019316532089073895
01045,1.1404916963262846,49226,361.4422574903771,250.32919827759534,413.3536422823765,283.6482796170016,23.6,74.1,22,-0.004226549723443882,-0.014334467349955034
01047,1.1141228641080188,40008,349.16095298575505,241.29459061602816,396.7717926008168,274.1970041177763,68.4,30.8,23,-0.007501543251428771,-0.01085497185761919
01049,1.2024919208325433,70900,351.1513121652608,219.15393949148591,407.3571381797512,246.8314318192772,14.1,83.4,24,0.0008122110835553524,-0.017495922041406802
01051,1.2336693890845372,81799,356.1146484542984,240.34786098537515,406.36461583010373,269.9928605245151,22.8,74.8,25,-0.004345402228839295,-0.011398364575097691
01053,1.10760074027881,37728,349.88859078833195,254.36855944175846,397.5986495354881,289.0537113269696,30.8,67.5,26,-0.007907996385598338,-0.010877593195434803
01055,1.2930693458009932,102564,351.9672815042536,223.6963254544708,405.6000629325945,252.13615490263902,23.8,73.9,27,-0.00014092209902737216,-0.018734607070408086
01057,1.0470079214409593,16546,341.2885502854623,227.76780307243035,388.75998627509165,257.6542809924204,16.5,81.8,28,0.0035005225611268735,-0.018085968342917473
01059,1.0901511984550498,31628,339.3894194841637,221.68908277123546,387.0988361273557,249.02784956975205,18.3,79.1,29,0.0025634698110438094,-0.019702832079528804
01061,1.0758082471920443,26614,362.16379895724543,253.46394997802105,411.58049586158637,288.0313741310572,13,85.4,30,-0.005208531823366912,-0.009940548526796664
01063,1.0237685644284629,8422,340.98285725145297,236.60998473312563,387.54986463002496,268.7169452130468,82.3,17.2,31,0.0038723976794923015,-0.01571748322570664
01065,1.0424481559217669,14952,344.18422288886217,237.19600176034433,391.1164462485141,269.5395404652764,59.5,39.6,32,-0.007374123314279571,-0.010700251621341961
01067,1.04877576026835,17164,364.50000589640683,251.22087816940694,417.0475104399938,282.17019665859016,28.5,70.1,33,0.004192594666419613,-0.016688190558861095
01069,1.2973373320962474,104056,366.03395802536807,254.1831337746234,416.9603050788276,286.60780013964745,25,72.7,34,0.001088441430086554,-0.010230366046039727
01071,1.14882170711166,52138,352.92773316628603,216.41191814220014,405.24178287491037,243.30890515882578,17.6,80,35,0.0007380326361784473,-0.015811183631147186
01073,2.8862897499872258,659521,346.73053166144035,229.88264251630756,397.5641705390657,259.05769576073976,52.2,45,36,0.0019675993200461146,-0.0169726648152994
01075,1.0394903155536082,13918,338.33304188337536,226.88841670391645,385.3330255083297,257.26905472256414,14.9,83.9,37,-0.0018366734102018218,-0.0165381293539521
01077,1.2637598366983296,92318,341.08711696544344,216.3555726853741,388.5094607689358,243.19085779263912,25.4,71.4,38,-0.0030814269604517216,-0.01604146631539225
01079,1.0947738967480327,33244,343.0019645240172,219.09235762427636,392.1868714386461,247.49058884877388,24.6,73.3,39,-0.002766260298579486,-0.01682398176110871
01081,1.454483328832029,158991,361.56955586371214,240.18075415438773,414.38997096954637,269.03933736410266,36.3,59.5,40,-0.006945890348276811,-0.014981634969001437
01083,1.2650041892710078,92753,344.60839177822845,216.10804042588188,395.2439840688436,243.73533398656014,23.7,73.1,41,-0.0031038146470577046,-0.015960221849388136
01085,1.0293066485220366,10358,351.95176987362424,243.653856772765,401.73586344966657,276.0098161896022,73.1,26.2,42,-0.0018714923669845766,-0.013531476250782772
01087,1.053921944816046,18963,358.7667848844846,242.28821019500876,411.2220488259325,272.0726792606062,82.7,15.9,43,-0.0031973716840601484,-0.012216628249636482
01089,2.02080963901248,356967,348.87146762504193,215.62556898793952,399.56066840414525,243.88402541586447,39.1,55.9,44,-0.0010965109825233626,-0.015799514553969916
01091,1.0559529570611066,19673,343.1508283246082,242.76924423162515,389.9421402151023,275.8727383415562,51.2,47.7,45,-0.007547388364864736,-0.010668124693010282
01093,1.0854884520332908,29998,340.51939687539874,224.66280649547025,387.03219499282227,252.78780887429406,11,87.3,46,0.00044887391114119924,-0.014252658906142978
01095,1.2718810250979453,95157,348.9643858520095,221.79271707574566,402.4018411590314,249.22568033547117,14,83.5,47,0.0003996314852323057,-0.019073836771326635
01097,2.186348579307428,414836,340.1759285081465,259.8150265613851,387.3610919878807,295.32890313266057,41.8,55.7,48,-0.0081570352176291,-0.010626832240170506
01099,1.0612650552851595,21530,347.47801016995084,249.62090791423412,394.85936730766434,283.65868020704744,42.3,56.6,49,-0.0077603979119420866,-0.010802651296722214
01101,1.6471663186951175,226349,355.5893304520054,244.18681861294593,406.2401620303062,274.866371333128,62,35.8,50,-0.0044709195000801685,-0.013147631372796455
01103,1.3401201759513552,119012,346.4249205267298,219.22422970173764,397.002136267429,247.96894446011004,22.4,74.7,51,-0.0017533605654550053,-0.016900711841852382
01105,1.0270639533105894,9574,347.24410427747125,238.15585337024115,394.5935665087335,270.63027538461057,72.7,26.6,52,-0.007403963885293665,-0.010795379458738942
01107,1.0578151950491832,20324,339.23691169476723,231.67055289203194,385.7391212480605,263.2880573511452,41.8,57.4,53,-0.0067268965797103375,-0.010037528457574673
01109,1.0948940411343602,33286,358.940312418132,245.91714543897177,409.44349274724806,279.52870931448246,38.6,58.9,54,-0.01076841161948759,-0.017819780251149185
01111,1.0644746267484806,22652,359.8817462163296,233.49967707688688,412.3192522757384,260.7057097967006,22.6,75.9,55,0.0016305291022209202,-0.016118080350804843
01113,1.1660824506140484,58172,364.34711135804525,245.10450161025798,416.5168130526489,272.6834342655959,50,48.1,56,0.00223799351246277,-0.013509317960384513
01115,1.251462200583519,88019,351.05042469341225,227.10589447647186,403.2086753930875,256.5255579568606,14.6,83.2,57,0.00009351738090844531,-0.018144531223636292
01117,1.6021779671767116,210622,350.3667964963006,233.99238383058034,400.11216025828463,262.4003464117841,23.1,73.4,58,-0.0010936418626778259,-0.013457588768996621
01119,1.0369787257632375,13040,339.15446713574806,239.31079028733689,385.4008437750933,271.9426970257432,74.1,24.7,59,-0.007439869411456299,-0.010543882884563484
01121,1.2288178443414066,80103,353.61486171183367,231.96114723669123,405.0486679068203,260.58683563219637,36.4,62,60,-0.008352776539361582,-0.017983458010477574
01123,1.116179621578721,40727,356.6211696665911,237.0421208128733,409.5068995144915,266.3709522228443,28.4,70,61,-0.005555769724149454,-0.018572058219704247
01125,1.5892481427433678,206102,342.4788611209988,233.32808296771003,391.54733366129165,262.8678710363933,38.8,58.3,62,0.0039419480910661,-0.015427114629401066
01127,1.1855200959734664,64967,343.806014986383,225.74143075871623,393.2240847714574,256.52228475491086,15.3,82.7,63,0.0029833517670666445,-0.01846996579603505
01129,1.0476086433725968,16756,340.1903303823618,252.12997052590867,386.57795511510346,286.50987322181277,27.8,71,64,-0.007838401491110468,-0.010576086561103435
01131,1.031103093155696,10986,347.8097261682283,245.1445277506503,395.2363153889018,278.57191043316493,71,28.4,65,-0.007621232921457915,-0.010812963927029906
01133,1.067772876211234,23805,342.5002454329188,222.209470758945,392.1842495623572,252.11414346320907,8.49,89.9,66,-0.0030996391062085883,-0.018637021902352426
04001,1.2088195251791265,73112,152.1441337989408,203.68077290757165,172.890181977385,231.45424679876584,65.3,28.4,67,-0.006332177292287368,-0.004729968447407489
04003,1.35945197982758,125770,144.4342881407692,240.89810744254837,164.12903828044603,273.7464573480637,35.4,58,68,-0.00748921709166394,-0.004490279109495026
04005,1.4027554493567738,140908,133.36543544868982,195.89412072923813,151.55086054574963,222.60582340910202,56.3,36.8,69,-0.006090100136929369,-0.004146162496680201
04007,1.1528780104405274,53556,140.1031801919932,218.69171517777673,156.96901449195173,248.94586406609932,31.5,63.8,70,-0.006952292834003205,-0.0035319818896182953
04009,1.107231725377947,37599,144.96918106132762,229.5047393629148,164.73686805386293,260.79951400270716,27.6,67.2,71,-0.0071350117064100955,-0.004506908253017091
04011,1.0271755159550364,9613,151.07611264500116,227.02556421943788,171.67652774669128,257.98228384728134,33.6,58.3,72,-0.007057937290779063,-0.00469676502225293
04012,1.0577951709847953,20317,114.60004367464636,210.48211316644344,124.78450110790169,244.10206013836586,26.7,68.5,73,-0.006810826486789902,-0.0038169054875575262
04013,13.1371117723546,4242997,125.07209051220788,221.4918451523272,139.28655423545754,251.5329141270011,45.6,49.1,74,-0.007049938242997527,-0.00355745752149832
04015,1.5868080674686684,205249,119.56424133779433,191.33729990244387,132.20094864830835,220.5598323702941,22.2,73.6,75,-0.006158070393199759,-0.0035239661135987666
04017,1.3144149984385174,110026,145.04269547486444,202.57837475869925,164.8204067353553,230.20152799974886,43.3,51.3,76,-0.006297905129894714,-0.004509193723036714
04019,3.9066159508737694,1016206,127.5641266630423,239.36233420438168,143.93055232050725,267.52024230940094,54.2,40.7,77,-0.0069941985704248056,-0.003903420502891275
04021,2.1969441699492647,418540,137.72221133219645,231.82455680552786,149.71715226000248,258.6309681945457,38,57.4,78,-0.006784536774408413,-0.0037642029798554003
04023,1.131220554514677,45985,134.03362101347676,243.20800762880563,152.3101584628376,276.3713305757058,71.5,24.4,79,-0.00756102896324156,-0.004166935539712094
04025,1.6449150417417897,225562,124.28624062278975,205.72971969180293,141.24680599059494,235.8361527803271,32,63.4,80,-0.007040606801226021,-0.003896025724011395
04027,1.5879008092681235,205631,109.53416177209321,223.90969555378007,123.85436646440851,255.8658182452429,44.9,50.5,81,-0.006939732790765161,-0.0035424018895921813
05001,1.0517793699265383,18214,309.7187578579529,222.88350142297782,351.95134423410707,253.275418240566,31.4,62,82,-0.006929165803865693,-0.009628763959932288
05003,1.0582957725944933,20492,306.7640559050688,234.9326263024221,348.5937454521643,266.9675359782651,29.9,66.5,83,-0.007303757837587868,-0.009536906017994786
05005,1.1171379160887143,41062,300.56727949313705,201.66475143119675,341.4600468325156,229.17141392155764,21.2,74.8,84,-0.006273681271383679,-0.009296749529151455
05007,1.7385389850778306,258291,284.15645229848946,201.6575496453409,322.665861007941,229.00216523683508,29.5,64.4,85,-0.0063167392541047356,-0.008763469275169355
05009,1.1063878540930272,37304,294.0534358410797,201.63873886824703,334.149932463538,229.1337653720591,18.3,76.8,86,-0.006268693039997354,-0.009141748936689877
05011,1.0311316989619643,10996,303.1094404113912,232.1302680382277,344.44079441828336,263.78305414406805,36.4,59.8,87,-0.007216636068006612,-0.009423288650431043
05013,1.014391581133662,5144,299.9939477924231,231.2032152865223,340.90047989945714,262.72959046497033,28.2,69,88,-0.007187815171957846,-0.00932643193030719
05015,1.0787603663989491,27646,290.0761844949875,201.3879761338712,329.6303516435216,228.84880916837983,31.2,63.5,89,-0.006260897144146709,-0.009018101229054396
05017,1.0309858093499953,10945,310.95708308451634,233.90897923133406,353.36781454289167,265.80363727975083,56.6,41.3,90,-0.0072681087125722275,-0.009720354716828866
